Beekeepers Exclusive to State,Colonies Exclusive to State,if than for year,Path,Region,State,Year,Year (copy),Beekeepers,Beekeepers Calc,Colonies,Colonies Calc,Colonies per keeper,Total Winter All Loss
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2007-08,2007-08,14,4013,4013,4013,286.642857143,8%
0%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2007-08,2007-08,5,21870,21870,21870,4374,14%
80%,12%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2007-08,2007-08,15,22622,22622,22622,1508.133333333,15%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2007-08,2007-08,20,16955,16955,16955,847.75,17%
16.7%,0.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2007-08,2007-08,6,45937,45937,45937,7656.166666667,18%
75%,33.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2007-08,2007-08,12,26950,26950,26950,2245.833333333,19%
57.1%,79.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2007-08,2007-08,7,4850,4850,4850,692.857142857,21%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2007-08,2007-08,28,17709,17709,17709,632.464285714,25%
16.7%,1.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2007-08,2007-08,18,103447,103447,103447,5747.055555556,26%
98.4%,48.3%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2007-08,2007-08,192,15974,15974,15974,83.197916667,26%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2007-08,2007-08,8,516,516,516,64.5,27%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2007-08,2007-08,14,9145,9145,9145,653.214285714,27%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2007-08,2007-08,16,6532,6532,6532,408.25,28%
30.8%,0.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2007-08,2007-08,13,55330,55330,55330,4256.153846154,28%
13.9%,9.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,California,2007-08,2007-08,36,184085,184085,184085,5113.472222222,29%
0%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2007-08,2007-08,43,202865,202865,202865,4717.790697674,31%
0%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2007-08,2007-08,9,52800,52800,52800,5866.666666667,32%
93.3%,56.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2007-08,2007-08,15,6122,6122,6122,408.133333333,34%
80%,64.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2007-08,2007-08,5,5590,5590,5590,1118,34%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2007-08,2007-08,15,42876,42876,42876,2858.4,35%
65.2%,33.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2007-08,2007-08,23,50897,50897,50897,2212.913043478,40%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2007-08,2007-08,12,723,723,723,60.25,40%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2007-08,2007-08,16,4848,4848,4848,303,42%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2007-08,2007-08,9,1365,1365,1365,151.666666667,42%
94.1%,64%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2007-08,2007-08,17,3399,3399,3399,199.941176471,52%
83.3%,81.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2007-08,2007-08,18,99011,99011,99011,5500.611111111,52%
